ID,PearsonCorr,BVol,GVol,WVol,ThicknessSum
3235171,0.804640,1372360,474682,447328,1326930
3235203,0.835628,1565580,529585,439653,1365630
3235234,0.783607,1467670,452748,455116,1079510
3235267,0.793222,1459120,496583,423623,1336820
3235330,0.831226,1521790,524541,458531,1397760
3235464,0.822081,1236440,400146,353158,997908
3235529,0.760811,1319860,435541,414106,1141150
3235683,0.814914,1586740,541868,474537,1485400
3235781,0.806760,1534030,517791,436084,1346010
3235797,0.839406,1596330,552201,476116,1564650
3235916,0.841727,1578190,508387,467014,1291980
3235982,0.788497,1566300,508027,489671,1335900
3236123,0.844681,1522960,541416,457718,1597880
3236272,0.820026,1389080,455001,408532,1195760
3236416,0.821126,1716270,582875,521505,1595550
3236564,0.820502,1415360,448773,438807,1108810
3236918,0.737638,1375110,439324,402479,1154800
3236927,0.805403,1381880,455409,400412,1128010
3237086,0.818454,1527570,547266,479609,1551380
3237345,0.811753,1553050,516929,497228,1332490
3237358,0.788792,1460680,487660,419928,1263310
3238707,0.814678,1445090,458903,434798,1211880
3238923,0.828350,1499740,483715,449918,1186040
3239389,0.784849,1489880,465502,458472,1136050
3239695,0.807479,1523820,510720,440924,1306110
3239782,0.804736,1440310,462245,428334,1130700
3239815,0.801915,1540880,505197,470503,1257550
3239936,0.782679,1540890,513061,446946,1417730
3240032,0.777436,1409170,474605,426732,1238260
3240102,0.816261,1614010,566477,472851,1654080
3240293,0.780553,1384040,428612,427823,994801
3240333,0.823865,1502540,504879,440710,1382490
3240622,0.821096,1486520,523807,480555,1499510
3240929,0.779827,1318500,421757,405538,1046790
3240962,0.766361,1376090,436937,433651,1044430
3241943,0.818896,1327060,433553,379329,1053320
3242134,0.791476,1416330,462503,396045,1157060
